"","X","age","gender","degree","reason_PhD","studying_in_your_home_country","current_living_location","reasons_to_study_outside_your_country_of_upbringing","job_alongside_studies","main_reason_job","reasons_for_having_a_job","satisfaction_decision","satisfaction_now","how_does_your_program_compare_to_your_expectations","supervisor_relationship","contact_hours","work_life_balance","PhD_weekly_hours","university_supports_work_life_balance","university_has_long_hours_culture","have_you_sought_help_for_anxiety_or_depression_caused_by_your_PhD","did_you_seek_help_within_your_institution","mental_health_and_wellbeing_services_at_my_uni_are_appropriate_to_PhD_students_needs","supervisor_awareness_of_mental_health_services","university_offers_adequate_one_to_one_mental_health_support","university_offers_a_variety_of_support_resources","experienced_bullying_in_PhD","who_was_the_perpetrator","able_to_speak_out_about_bullying_experiences","experienced_discrimination_or_harrasment","which_have_you_experienced"
"3187",3187,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","Europe","Lack of PhD programmes in my subject of choice","No",NA,"5th","Very dissatisfied","Worsened a little","Meets original expectations","6","More than three hours","5","51-60 hours","Somewhat agree","Somewhat disagree","No",NA,"Somewhat agree","Strongly agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"3188",3188,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","North or Central America","Lack of funding opportunities in my home country","No",NA,"5th","Somewhat satisfied","Worsened a little","Meets original expectations","5","Between one and three hours","1 = Not at all satisfied","41-50 hours","Strongly disagree","Somewhat agree","Yes","No, I sought help elsewhere","Strongly disagree","Strongly disagree","Somewhat disagree","Strongly disagree","Yes","Another student","Yes","Yes","Sexual harassment"
"3189",3189,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","No","Europe","Lack of funding opportunities in my home country","No",NA,"4th","Very satisfied","Significantly worsened","Meets original expectations","5","More than three hours","5","41-50 hours","Somewhat agree","Somewhat disagree","Yes","No, I sought help elsewhere","Somewhat disagree","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Yes","Other, please specify","Yes","No",NA
"3190",3190,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","To study at a specific university","No",NA,"2nd","Very satisfied","Worsened a little","Meets original expectations","6","Between one and three hours","5","More than 80 hours","Somewhat agree","Strongly disagree","No",NA,"Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"3191",3191,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Europe",NA,"No",NA,"3rd","Somewhat dissatisfied","Significantly worsened","Does not meet original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","1 = Not at all satisfied","71-80 hours","Somewhat disagree","Somewhat agree","Yes","No, I sought help elsewhere","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Prefer not to say",NA,NA,"No",NA
"3192",3192,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"No",NA,"5th","Somewhat satisfied","Stayed the same","Meets original expectations","7 = Extremely satisfied","Between one and three hours","5","51-60 hours","Neither agree nor disagree","Somewhat disagree","No",NA,"Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"3193",3193,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Europe",NA,"No",NA,"4th","Neither satisfied nor dissatisfied","Significantly worsened","Does not meet original expectations","3","Less than an hour","3","51-60 hours","Somewhat disagree","Somewhat agree","No",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"3194",3194,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Somewhat satisfied","Worsened a little","Does not meet original expectations","6","Between one and three hours","3","51-60 hours","Strongly disagree","Somewhat agree","Yes","I wanted to, but there was none available","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Supervisor","Yes","No",NA
"3195",3195,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"1st","Very dissatisfied","Worsened a little","Does not meet original expectations","3","Between one and three hours","4 = Neither satisfied nor dissatisfied","41-50 hours","Somewhat agree","Somewhat disagree","No",NA,"Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","No",NA,NA,"Yes","Racial discrimination or harassment"
"3196",3196,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"2nd","Very dissatisfied","Improved greatly","Meets original expectations","7 = Extremely satisfied","Less than an hour","5","31-40 hours","Neither agree nor disagree","Neither agree nor disagree","Yes","No, I sought help elsewhere","Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"3197",3197,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","North or Central America",NA,"No",NA,"1st","Very satisfied","Stayed the same","Meets original expectations","6","Between one and three hours","6","31-40 hours","Somewhat agree","Somewhat disagree","No",NA,"Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","No",NA,NA,"No",NA
"3198",3198,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","Asia (including Middle East)","Chance to pursue a specific research question","Yes","To help make ends meet","3rd","Somewhat satisfied","Stayed the same","Meets original expectations","3","Between one and three hours","5","21-30 hours","Somewhat agree","Neither agree nor disagree","Prefer not to say",NA,"Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Yes","Supervisor","No","Yes",NA
"3199",3199,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","No","North or Central America","More job opportunities post-study","No",NA,"3rd","Somewhat satisfied","Worsened a little","Meets original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","31-40 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"3200",3200,"35 - 44","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","Australasia","Lack of quality PhD programmes in my home country","Yes","Other, please specify","2nd","Very satisfied","Improved slightly","Does not meet original expectations","7 = Extremely satisfied","Less than an hour","6","31-40 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"3201",3201,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","South America","Lack of quality PhD programmes in my home country","No",NA,"10th","Very dissatisfied","Significantly worsened","Does not meet original expectations","5","Less than an hour","1 = Not at all satisfied","61-70 hours","Strongly disagree","Neither agree nor disagree","Yes","I wanted to, but there was none available","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"3202",3202,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","Europe","Higher salaries post-study","No",NA,"1st","Very satisfied","Improved greatly","Meets original expectations","7 = Extremely satisfied","Less than an hour","6","11-20 hours","Strongly agree","Neither agree nor disagree","Yes","No, I sought help elsewhere","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","No",NA,NA,"No",NA
"3203",3203,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"4th","Very satisfied","Improved greatly","Meets original expectations","5","Less than an hour","4 = Neither satisfied nor dissatisfied","71-80 hours","Strongly agree","Somewhat disagree","No",NA,"Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","No",NA,NA,"Yes",NA
"3204",3204,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"1st","Neither satisfied nor dissatisfied","Improved greatly","Exceeds original expectations","7 = Extremely satisfied","Between one and three hours","1 = Not at all satisfied","71-80 hours","Strongly disagree","Strongly agree","Yes","I wanted to, but there was none available","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"3205",3205,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Lack of funding opportunities in my home country","No",NA,"3rd","Very satisfied","Improved greatly","Exceeds original expectations","7 = Extremely satisfied","Between one and three hours","7 = Extremely satisfied","31-40 hours","Strongly agree","Strongly disagree","No",NA,"Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"3206",3206,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"8th","Very dissatisfied","Improved greatly","Does not meet original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","5","71-80 hours","Strongly disagree","Somewhat agree","No",NA,"Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","No",NA,NA,"No",NA
"3207",3207,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","To study at a specific university","No",NA,"2nd","Very satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","More than three hours","7 = Extremely satisfied","21-30 hours","Strongly agree","Strongly disagree","No",NA,"Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","No",NA,NA,"No",NA
"3208",3208,"25 - 34","Male (including trans male)","Dual doctorate degree (MD-PhD, PhD-PhD or other combination)","Other, please specify","Yes","Asia (including Middle East)",NA,"No",NA,"3rd","Somewhat dissatisfied","Significantly worsened","Does not meet original expectations","6","More than three hours","6","41-50 hours","Somewhat agree","Somewhat disagree","No",NA,"Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","No",NA,NA,"No",NA
"3209",3209,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","South America","Lack of funding opportunities in my home country","No",NA,"1st","Very satisfied","Improved greatly","Meets original expectations","5","Less than an hour","4 = Neither satisfied nor dissatisfied","51-60 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"3210",3210,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","South America",NA,"No",NA,"5th","Somewhat satisfied","Worsened a little","Does not meet original expectations","6","Less than an hour","3","31-40 hours","Neither agree nor disagree","Strongly agree","Yes","No, I sought help elsewhere","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"3211",3211,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Europe",NA,"Yes","To help make ends meet","2nd","Very satisfied","Worsened a little","Meets original expectations","6","Less than an hour","3","41-50 hours","Strongly disagree","Strongly agree","No",NA,"Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"3212",3212,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Europe",NA,"No",NA,"4th","Somewhat satisfied","Improved slightly","Meets original expectations","6","Between one and three hours","3","61-70 hours","Somewhat agree","Strongly disagree","No",NA,"Somewhat disagree","Somewhat agree","Somewhat disagree","Strongly disagree","Prefer not to say",NA,NA,"Prefer not to say",NA
"3213",3213,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"1st","Neither satisfied nor dissatisfied","Worsened a little","Does not meet original expectations","5","Between one and three hours","3","41-50 hours","Strongly agree","Somewhat agree","No",NA,"Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"3214",3214,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"No",NA,"3rd","Very satisfied","Worsened a little","Meets original expectations","5","Less than an hour","1 = Not at all satisfied","51-60 hours","Neither agree nor disagree","Somewhat agree","Yes","Other, please specify","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"3215",3215,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Europe",NA,"No",NA,"1st","Very satisfied","Improved slightly","Does not meet original expectations","1 = Not at all satisfied","Less than an hour","6","51-60 hours","Somewhat disagree","Somewhat agree","Yes","Other, please specify","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Yes","Supervisor","No","Yes",NA
"3216",3216,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","South America","Lack of quality PhD programmes in my home country","No",NA,"2nd","Very satisfied","Improved greatly","Meets original expectations","N/A","Between one and three hours","N/A","More than 80 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Yes","Another student","Unsure","Yes","Racial discrimination or harassment"
"3217",3217,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","North or Central America",NA,"No",NA,"3rd","Somewhat satisfied","Improved slightly","Exceeds original expectations","7 = Extremely satisfied","Between one and three hours","5","41-50 hours","Strongly agree","Somewhat agree","No",NA,"Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","No",NA,NA,"No",NA
"3218",3218,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","North or Central America","To study at a specific university","No",NA,"3rd","Somewhat dissatisfied","Improved slightly","Does not meet original expectations","7 = Extremely satisfied","Other, please specify","7 = Extremely satisfied","41-50 hours","Strongly agree","Neither agree nor disagree","No",NA,"Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","No",NA,NA,"No",NA
"3219",3219,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"1st","Very satisfied","Worsened a little","Meets original expectations","6","Less than an hour","2","51-60 hours","Neither agree nor disagree","Strongly agree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Yes","Other, please specify","Yes","Yes","Racial discrimination or harassment"
"3220",3220,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to live in another country","No","Europe","Lack of funding opportunities in my home country","No",NA,"1st","Very satisfied","Improved greatly","Does not meet original expectations","1 = Not at all satisfied","Less than an hour","3","51-60 hours","Strongly disagree","Strongly agree","Yes","No, I sought help elsewhere","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Supervisor","Yes","Yes","Racial discrimination or harassment"
"3221",3221,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Asia (including Middle East)",NA,"Yes","To develop additional skills","3rd","Very satisfied","Improved greatly","Exceeds original expectations","7 = Extremely satisfied","More than three hours","7 = Extremely satisfied","61-70 hours","Strongly agree","Somewhat agree","No",NA,"Somewhat agree","Strongly agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"3222",3222,"18 - 24","Gender queer / Non binary","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","North or Central America",NA,"No",NA,"1st","Somewhat satisfied","Stayed the same","Meets original expectations","6","Less than an hour","4 = Neither satisfied nor dissatisfied","51-60 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Strongly disagree","Somewhat disagree","Strongly disagree","Strongly disagree","No",NA,NA,"Yes","Sexual harassment"
"3223",3223,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","To experience another culture","No",NA,"3rd","Very satisfied","Improved slightly","Meets original expectations","7 = Extremely satisfied","Between one and three hours","N/A","41-50 hours","Strongly agree","Somewhat agree","No",NA,"Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","No",NA,NA,"No",NA
"3224",3224,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"4th","Somewhat satisfied","Significantly worsened","Does not meet original expectations","1 = Not at all satisfied","Less than an hour","4 = Neither satisfied nor dissatisfied","41-50 hours","Neither agree nor disagree","Somewhat agree","Yes","I wanted to, but there was none available","Strongly disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Yes","Supervisor","No","Yes","Gender discrimination"
"3225",3225,"25 - 34","Prefer not to say","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Europe",NA,"No",NA,"7th","Very dissatisfied","Significantly worsened","Does not meet original expectations","1 = Not at all satisfied","Other, please specify","1 = Not at all satisfied","More than 80 hours","Strongly disagree","Strongly disagree","No",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Supervisor","Yes","Yes","Racial discrimination or harassment"
"3226",3226,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"No",NA,"7th","Very satisfied","Worsened a little","Meets original expectations","3","Less than an hour","6","41-50 hours","Somewhat agree","Strongly agree","No",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Other academic staff member","No","Yes",NA
"3227",3227,"25 - 34","Female (including trans female)","Dual doctorate degree (MD-PhD, PhD-PhD or other combination)","Other, please specify","No","Africa","Lack of funding opportunities in my home country","No",NA,"1st","Very satisfied","Improved slightly","Meets original expectations","5","Between one and three hours","4 = Neither satisfied nor dissatisfied","More than 80 hours","Somewhat agree","Strongly agree","No",NA,"Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"Yes","Racial discrimination or harassment"
"3228",3228,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","To study at a specific university","No",NA,"2nd","Very satisfied","Improved slightly","Meets original expectations","5","Less than an hour","6","61-70 hours","Somewhat agree","Strongly agree","No",NA,"Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","No",NA,NA,"No",NA
"3229",3229,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"No",NA,"10th","Somewhat satisfied","Worsened a little","Does not meet original expectations","5","Less than an hour","2","41-50 hours","Somewhat disagree","Somewhat agree","Yes","No, I sought help elsewhere","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Yes","Supervisor","Unsure","Yes","Sexual harassment"
"3230",3230,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","Asia (including Middle East)","To study at a specific university","No",NA,"1st","Neither satisfied nor dissatisfied","Significantly worsened","Does not meet original expectations","1 = Not at all satisfied","Other, please specify","3","71-80 hours","Somewhat disagree","Strongly agree","No",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","No",NA,NA,"Yes","Sexual harassment"
"3231",3231,"45 - 54","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Europe",NA,"No",NA,"4th","Very satisfied","Improved greatly","Meets original expectations","6","Less than an hour","3","51-60 hours","Prefer not to say","Prefer not to say","No",NA,"Prefer not to say","Prefer not to say","Prefer not to say","Prefer not to say","No",NA,NA,"No",NA
"3232",3232,"25 - 34","Prefer not to say","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Asia (including Middle East)",NA,"Yes","Other, please specify","1st","Very satisfied","Improved greatly","Meets original expectations","6","Less than an hour","5","21-30 hours","Somewhat disagree","Somewhat disagree","Yes","Yes, but I didn’t feel supported","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat disagree","No",NA,NA,"Yes","Disability discrimination"
"3233",3233,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Africa","Lack of quality PhD programmes in my home country","Yes","To help make ends meet","1st","Very satisfied","Improved slightly","Does not meet original expectations","6","More than three hours","5","More than 80 hours","Strongly agree","Strongly agree","No",NA,"Somewhat agree","Strongly agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"3234",3234,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Europe","Lack of quality PhD programmes in my home country","No",NA,"1st","Very satisfied","Improved greatly","Meets original expectations","6","Between one and three hours","5","51-60 hours","Somewhat agree","Somewhat disagree","No",NA,"Neither agree nor disagree","Prefer not to say","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"3235",3235,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","Yes","Asia (including Middle East)",NA,"Yes","To make myself more attractive to future employers","7th","Very satisfied","Improved slightly","Does not meet original expectations","6","Between one and three hours","5","11-20 hours","Somewhat disagree","Strongly agree","No",NA,"Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","No",NA,NA,"No",NA
"3236",3236,"35 - 44","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","Yes","Africa",NA,"Yes","To help make ends meet","2nd","Very satisfied","Improved greatly","Does not meet original expectations","3","Between one and three hours","6","11-20 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Yes","Supervisor","No","Yes",NA
"3237",3237,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","No","North or Central America","To experience another culture","No",NA,"12th","Neither satisfied nor dissatisfied","Improved slightly","Does not meet original expectations","3","Less than an hour","3","51-60 hours","Neither agree nor disagree","Somewhat agree","Yes","I didn’t seek help","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Yes","Postdoc","No","Yes","Racial discrimination or harassment"
"3238",3238,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Asia (including Middle East)",NA,"No",NA,"2nd","Somewhat satisfied","Improved slightly","Does not meet original expectations","7 = Extremely satisfied","More than three hours","5","71-80 hours","Neither agree nor disagree","Neither agree nor disagree","No",NA,"Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Prefer not to say",NA,NA,"No",NA
"3239",3239,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","Asia (including Middle East)","Lack of funding opportunities in my home country","No",NA,NA,"Very dissatisfied","Significantly worsened","Does not meet original expectations","1 = Not at all satisfied","Other, please specify","1 = Not at all satisfied","51-60 hours","Strongly disagree","Strongly agree","No",NA,"Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Yes","Supervisor","No","Yes","Racial discrimination or harassment"
"3240",3240,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"1st","Very satisfied","Improved slightly","Does not meet original expectations","3","Less than an hour","3","51-60 hours","Somewhat disagree","Somewhat agree","Yes","I wanted to, but there was none available","Neither agree nor disagree","Strongly disagree","Somewhat agree","Neither agree nor disagree","No",NA,NA,"No",NA
"3241",3241,"18 - 24","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"3rd","Very satisfied","Improved slightly","Meets original expectations","1 = Not at all satisfied","Less than an hour","2","71-80 hours","Strongly disagree","Strongly agree","Prefer not to say",NA,"Prefer not to say","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Yes","Supervisor","No","Yes","Age discrimination"
"3242",3242,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","No","Asia (including Middle East)","To study at a specific university","Yes","To help make ends meet","1st","Very satisfied","Improved slightly","Meets original expectations","4 = Neither satisfied nor dissatisfied","Less than an hour","5","11-20 hours","Somewhat disagree","Strongly agree","Prefer not to say",NA,"Strongly disagree","Strongly agree","Strongly disagree","Strongly disagree","Prefer not to say",NA,NA,"Yes","Racial discrimination or harassment"
"3243",3243,"18 - 24","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","Personal interest in my subject of choice","No","North or Central America","Lack of quality PhD programmes in my home country","No",NA,"10th","Somewhat satisfied","Worsened a little","Meets original expectations","7 = Extremely satisfied","Less than an hour","1 = Not at all satisfied","51-60 hours","Neither agree nor disagree","Somewhat agree","Yes","No, I sought help elsewhere","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat disagree","No",NA,NA,"No",NA
"3244",3244,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","No","North or Central America","Family reasons","No",NA,"3rd","Very satisfied","Stayed the same","Exceeds original expectations","5","Less than an hour","5","41-50 hours","Somewhat agree","Somewhat agree","Yes","No, I sought help elsewhere","Somewhat agree","Strongly disagree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"3245",3245,"25 - 34","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","I want to pursue an academic career","No","Asia (including Middle East)","Lack of funding opportunities in my home country","No",NA,"3rd","Very dissatisfied","Improved greatly","Meets original expectations","7 = Extremely satisfied","Between one and three hours","7 = Extremely satisfied","31-40 hours","Strongly agree","Strongly agree","No",NA,"Strongly agree","Strongly agree","Strongly agree","Strongly agree","No",NA,NA,"No",NA
"3246",3246,"35 - 44","Male (including trans male)","Doctorate degree (PhD/DPhil/MD)","No job I want is available without a PhD","Yes","Europe",NA,"No",NA,"8th","Somewhat dissatisfied","Significantly worsened","Does not meet original expectations","3","Less than an hour","4 = Neither satisfied nor dissatisfied","31-40 hours","Neither agree nor disagree","Strongly disagree","Yes","Yes, but I didn’t feel supported","Somewhat disagree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","No",NA,NA,"No",NA
"3247",3247,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I wanted to continue pursuing my research","Yes","Asia (including Middle East)",NA,"No",NA,"8th","Somewhat satisfied","Improved greatly","Meets original expectations","6","More than three hours","1 = Not at all satisfied","71-80 hours","Strongly disagree","Somewhat agree","No",NA,"Somewhat disagree","Somewhat disagree","Somewhat disagree","Somewhat disagree","No",NA,NA,"No",NA
"3248",3248,"25 - 34","Female (including trans female)","Doctorate degree (PhD/DPhil/MD)","I want to pursue a non-academic career","Yes","North or Central America",NA,"No",NA,"3rd","Neither satisfied nor dissatisfied","Worsened a little","Meets original expectations","6","Less than an hour","4 = Neither satisfied nor dissatisfied","11-20 hours","Neither agree nor disagree","Strongly agree","Yes","Yes, it was helpful","Somewhat disagree","Strongly disagree","Somewhat disagree","Somewhat agree","No",NA,NA,"No",NA
